Comment,Designator,Footprint,LCSC
1k,R13,C_0402_1005Metric,C11702
OPA388,U2,SOIC-8_3.9x4.9mm_P1.27mm,C154118
0,"R3,R8",R_0402_1005Metric,C17168
D_Schottky,D1,D_SOD-323,C191023
INA333xxDGK,U3,VSSOP-8_3.0x3.0mm_P0.65mm,C19450
AO3400A,"Q1,Q2",SOT-23,C20917
JS102011SAQN,SW1,SW_SPDT_CK_JS102011SAQN,C221660
10,"R10,R9",C_0402_1005Metric,C25077
220,R7,C_0402_1005Metric,C25091
100nF,"C1,C2",C_0402_1005Metric,C307331
CJ431,U1,SOT-23,C3113
47k,"R11,R12,R15,R5,R6",C_0402_1005Metric,C358418
100,"R1,R2,R4",C_0402_1005Metric,C705656
LED_RED,D2,LED_0805_2012Metric,C84256
72918,J8,MountingHole_3.2mm_M3_Pad,
Conn_01x01,J2,CT3149,
Conn_01x02,J3,PinSocket_1x02_P2.54mm_Vertical,
DNS,C3,C_0402_1005Metric,
Conn_01x01,J6,CT3149,
Conn_01x02,J4,PinSocket_1x02_P2.54mm_Vertical,
72918,J7,MountingHole_3.2mm_M3_Pad,
Conn_01x01,J5,CT3149,
Conn_01x01,J1,CT3149,
BH123A,BAT1,BH123A,
