Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BAT1,BH123A,BH123A,137.937,-66.0135,0.0,bottom
C1,100nF,C_0402_1005Metric,129.822,-67.056,180.0,top
C2,100nF,C_0402_1005Metric,148.082,-68.961,180.0,top
C3,DNS,C_0402_1005Metric,131.826,-67.056,180.0,top
D1,D_Schottky,D_SOD-323,128.4478,-78.9686,-90.0,top
D2,LED_RED,LED_0805_2012Metric,129.2629,-57.277,0.0,top
FID1,Fiducial,Fiducial_1mm_Mask2mm,156.2608,-69.7484,0.0,top
FID2,Fiducial,Fiducial_1mm_Mask2mm,142.5702,-61.5188,0.0,top
FID3,Fiducial,Fiducial_1mm_Mask2mm,112.141,-91.2876,0.0,top
J1,Conn_01x01,CT3149,116.84,-98.806,0.0,top
J2,Conn_01x01,CT3149,116.84,-83.82,0.0,top
J3,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,140.487,-100.4262,0.0,top
J4,Conn_01x02,PinSocket_1x02_P2.54mm_Vertical,136.423,-100.4262,0.0,top
J5,Conn_01x01,CT3149,160.02,-83.82,0.0,top
J6,Conn_01x01,CT3149,160.02,-98.806,0.0,top
Q1,AO3400A,SOT-23,138.5085,-65.532,0.0,top
Q2,AO3400A,SOT-23,152.5293,-61.4934,0.0,top
R1,100,C_0402_1005Metric,137.541,-68.4504,-90.0,top
R2,100,C_0402_1005Metric,138.684,-68.453,-90.0,top
R3,0,R_0402_1005Metric,135.38,-64.516,180.0,top
R4,100.0,C_0402_1005Metric,148.209,-63.881,0.0,top
R5,47k,C_0402_1005Metric,124.94,-62.5856,180.0,top
R6,47k,C_0402_1005Metric,124.94,-61.5188,180.0,top
R7,220,C_0402_1005Metric,124.206,-67.564,180.0,top
R8,0,R_0402_1005Metric,133.223,-68.453,180.0,top
R9,10,C_0402_1005Metric,149.5552,-60.5282,180.0,top
R10,10,C_0402_1005Metric,127.9398,-76.5556,0.0,top
R11,47k,C_0402_1005Metric,124.94,-60.452,180.0,top
R12,47k,C_0402_1005Metric,124.94,-59.3852,180.0,top
R13,1k,C_0402_1005Metric,132.2578,-57.2516,0.0,top
R15,47k,C_0402_1005Metric,121.412,-62.004,90.0,top
SW1,JS102011SAQN,SW_SPDT_CK_JS102011SAQN,112.4702,-69.44,-90.0,top
U1,CJ431,SOT-23,124.714,-65.278,0.0,top
U2,OPA388,SOIC-8_3.9x4.9mm_P1.27mm,130.491,-63.627,0.0,top
U3,INA333xxDGK,VSSOP-8_3.0x3.0mm_P0.65mm,148.336,-66.548,0.0,top
